1|Global|Gender|Gender|Male|\ |\ |
2|Global|Gender|Gender|Female|\ |\ |
3|Global|cclassconsumergroup|cclassconsumergroup|High|\ |\ |
4|Global|cclassconsumergroup|cclassconsumergroup|Low|\ |\ |
5|Global|MaritalStatus|MaritalStatus|Single|\ |\ |
6|Global|MaritalStatus|MaritalStatus|Married|\ |\ |
7|Global|MaritalStatus|MaritalStatus|Divorced|\ |\ |
8|Global|MaritalStatus|MaritalStatus|Widowed|\ |\ |
9|Global|MaritalStatus|MaritalStatus|Separated|\ |\ |
10|Global|TextFields|MaxLength|40|Max Length is 40|\ |
11|Global|DateField|Format|dd/mm/yy|Date format is dd/mm/yyyy|\ |
12|Global|TextFields|Case|U|\ |\ |
13|MDAS|MstUtility.UtilID|MinLength|4|Min Length is 4|\ |
14|MDAS|MstUtility.UtilID|MaxLength|10|Max Length is 10|\ |
15|MDAS|MstUtility.UtilID|DataType|^[0-9]+$|Invalid code|Number|
16|MDAS|MstUtility.UtilID|Required|Y|Please enter code|\ |
17|MDAS|MstUtility.UtilID|Padded|Y|\ |\ |
18|MDAS|MstUtility.UtilName|MaxLength|10|Max length is 10|\ |
19|MDAS|MstUtility.UtilName|MinLength|5|Min length is 5|\ |
20|MDAS|MstUtility.UtilName|DataType|^[A-z]+[0-9,',\\-,\\\\,.]*$|Invalid name|Name|
21|MDAS|MstUtility.UtilName|Required|Y|Please enter name|\ |
22|MDAS|MstUtility.UtilAddress1|MinLength|5|Min length is 5|\ |
23|MDAS|MstUtility.UtilAddress1|MaxLength|10|Max length is 10|\ |
24|MDAS|MstUtility.UtilAddress1|DataType||\ |\ |
25|MDAS|MstUtility.UtilAddress1|Required|Y|Please enter address 1|\ |
26|Global|TextFields|MinLength|2|Min Length is 2|\ |
27|MDAS|MstUser.usrid|MinLength|4|Min Length is 4|\ |
28|MDAS|MstUser.usrid|MaxLength|10|Max Length is 10|\ |
29|MDAS|MstUser.usrid|DataType|^[A-z0-9]+$|Invalid code|Alphanumeric|
30|MDAS|MstUser.usrid|Required|Y|Please enter code|\ |
31|MDAS|MstUser.usrid|Padded|Y|\ |\ |
32|MDAS|MstUser.usrpassword|MaxLength|10|Max length is 10|\ |
33|MDAS|MstUser.usrpassword|MinLength|5|Min length is 5|\ |
34|MDAS|MstUser.usrpassword|DataType||Invalid Password|Password|
35|MDAS|MstUser.usrpassword|Required|Y|Please enter name|\ |
36|MDAS|MstUser.usrroleid|Required|Y|Please select role|\ |
37|MDAS|MstUser.usremployeeid|Required|Y|Please select employee|\ |
38|MDAS|MstUser.usrfirstname|MaxLength|10|Max length is 10|\ |
39|MDAS|MstUser.usrfirstname|MinLength|5|Min length is 5|\ |
40|MDAS|MstUser.usrfirstname|DataType|^[A-z]+[0-9,',\\-,\\\\,.]*$|Invalid first name|Name|
41|MDAS|MstUser.usrfirstname|Required|Y|Please enter first name|\ |
42|MDAS|MstUser.usrlastname|MaxLength|10|Max length is 10|\ |
